the,[ðə],то;определенный артикль
empty,[ˈempti],пустой
merry,[ˈmer.i],веселый
guess,[ɡes],догадываться;догадка
nod,[nɒd],кивать;кивок
cloud,[klaʊd],затемнять;облако
curious,[ˈkjʊəriəs],любопытно;любопытный
spirit,[ˈspɪrɪt],дух
gentleman,[ˈdʒentlmən],джентльмен
wife,[waɪf],жена
captain,[ˈkæptɪn],капитан;капитанский
mine,[maɪn],геол)шахта;воор)мина;мой
lift,[lɪft],поднимать;лифт
slip,[slɪp],надевать;скользить;скольжение;ошибка
darkness,[dɑːk],темнота
noise,[nɔɪz],шум
war,[wɔː(r)],война;военный
hole,[həʊl],отверстие;астр)дыра
perfect,[ˈpɜːfɪkt],улучшать;отличный
twenty,[ˈtwenti],двадцать;двадцати
whatever,[wɒtˈevə(r)],все;что;независимо от того;какой
longer,[lɒŋ],дольше;более длинный
path,[pɑːθ],путь;инф)маршрут
nature,[ˈneɪtʃə(r)],природа;характер
attention,[əˈtenʃn],внимание
complete,[kəmˈpliːt],завершать;полный
wand,[wɒnd],палочка
mention,[ˈmenʃn],упоминать;ссылка
office,[ˈɒfɪs],офис;офисный
stair,[steə(r)],ступенька
escape,[ɪˈskeɪp],избегать;переход
ahead,[əˈhed],вперед;впереди
finish,[ˈfɪnɪʃ],завершать;заканчивать;конец
bag,[bæɡ],мешок;мультимножество
thick,[θɪk],толстый;плотный;густой
cause,[kɔːz],вызывать;заставлять;причина;процесс;дело
bow,[baʊ],кланяться;подчиняться;поклон;лук
vim,[vɪm],прыть
need,[niːd],необходимость;нужно
ah,[ɑː],ах
direction,[dəˈrekʃn],направление;руководство
field,[fiːld],область
neck,[nek],шея
plain,[pleɪn],равнина;простой;гладкий
key,[kiː],ключ;инф)клавиша;ключевой
mile,[maɪl],миля
press,[pres],нажимать;пресса;инф)нажатие;корреспондентский
allow,[əˈlaʊ],допускать;позволять
gentle,[ˈdʒentl],мягкий
daughter,[ˈdɔːtə(r)],дочь;дочерний
dwarf,[dwɔːf],карлик
particular,[pəˈtɪkjələ(r)],конкретный;в частности
six,[sɪks],шесть;шести
bar,[bɑː(r)],преграждать;бар;полоса;инф)зона;брусок;адвокатура;суд
pale,[peɪl],бледный
smell,[smel],пахнуть;чувствовать запах;запах;обоняние
moon,[muːn],луна;лунный
nose,[nəʊz],выискивать;нос;носовой
sharp,[ʃɑːp],точно;острый
ancient,[ˈeɪnʃənt],древний;старинный
anyway,[ˈeniweɪ],во всяком случае
evil,[ˈiːvl],зло;злой
faint,[feɪnt],слабый
act,[ækt],действовать;действие
silver,[ˈsɪlvə(r)],серебро;серебряный
mere,[mɪə(r)],просто;простой
yard,[jɑːd],ярд
bird,[bɜːd],птица
visit,[ˈvɪzɪt],посещать;визит
note,[nəʊt],иметь в виду;примечание
stuff,[stʌf],набивать;материал
month,[mʌnθ],месяц;месячный
nice,[naɪs],мило;хороший
scream,[skriːm],кричать;крик
subject,[ˈsʌbdʒɪkt],в зависимости от
west,[west],запад;западный;на западе
lean,[liːn],сгибать;наклоняться;прислоняться;тощий
somewhere,[ˈsʌmweə(r)],где-нибудь;куда-нибудь
horror,[ˈhɒrə(r)],ужас;ужасный
knock,[nɒk],стучать;ударять;стук;удар
potter,[ˈpɒt.ər],гончар
explain,[ɪkˈspleɪn],объяснять
reply,[rɪˈplaɪ],отвечать;ответ
common,[ˈkɒmən],общий
straight,[streɪt],прямо;сразу;прямой
game,[ɡeɪm],игра
pause,[pɔːz],останавливаться;пауза
pippin,[-],пепин
golden,[ˈɡəʊl.dən],золотой;золотистый
consider,[kənˈsɪdə(r)],рассматривать;считать;решать
trust,[trʌst],верить;доверие;экон)траст
beautiful,[ˈbjuːtɪfl],красивый
further,[ˈfɜːðə(r)],продвигать;дальше;дальнейший
mad,[mæd],сумасшедший;безумный
soul,[səʊl],душа
party,[ˈpɑːti],партия;конт)экон)транс)сторона;встр)вечеринка
queen,[kwiːn],королева;королевский
train,[treɪn],готовить;поезд
marry,[ˈmæri],вступать в брак с
cat,[kæt],кошка
receive,[rɪˈsiːv],получать;приемник
beat,[biːt],бить;опережать;ритм;такт
enemy,[ˈenəmi],неприятель;враждебный
join,[dʒɔɪn],к;соединять;груп)объединять;соединение
spot,[spɒt],определять;точка
continue,[kənˈtɪnjuː],продолжать;оставаться
middle,[ˈmɪdl],середина;средний
van,[væn],фургон;вагон;вэн
account,[əˈkaʊnt],считать;счет;отчет;учетный
garden,[ˈɡɑːdn],сад
hot,[hɒt],горячий
pain,[peɪn],боль
iron,[ˈaɪən],гладить;железо;железный
sword,[sɔːd],сабля;сабельный
expression,[ɪkˈspreʃn],выражение
folk,[fəʊk],народ;народный
object,[ˈɒbdʒɪkt],возражать;объект;объектный
elizabeth,[-],элизабет
snow,[snəʊ],снег;снежный
search,[-],искать;поиск
hop,[hɒp],прыжок;хмель;хмелевой
worry,[ˈwʌri],беспокоиться;озабоченность
buy,[baɪ],покупать
hit,[hɪt],поражать;нападать;инф)нажимать;удар
ought,[ɔːt],должен
odd,[ɒd],нечетный;странный
push,[pʊʃ],выталкивать;толчок
study,[ˈstʌdi],изучать;заниматься;анализ
instant,[ˈɪn.stənt],момент;мгновенный
during,[ˈdjʊərɪŋ],во время;в течение
thin,[θɪn],тонкий
magic,[ˈmædʒɪk],магия;волшебный
settle,[ˈsetl],решать;урегулировать;оседать;астр)осваивать
view,[vjuː],рассматривать;вид;зрение;представление;точка зрения
steppe,[step],степь
job,[dʒɒb],работа;задание
leap,[liːp],прыгать;прыжок;скачок
promise,[ˈprɒmɪs],обещать;обещание
dust,[dʌst],пыль
forest,[ˈfɒrɪst],лес;лесной
warm,[wɔːm],нагревать;тепло;теплый
instead,[ɪnˈsted],взамен
offer,[ˈɒfə(r)],предлагать;предложение
angry,[ˈæŋɡri],сердитый
seek,[siːk],искать;поиск
pleasure,[ˈpleʒə(r)],удовольствие
choose,[tʃuːz],выбирать;решать;выбор
clothe,[kləʊð],одевать;облекать
lower,[ˈləʊ.ər],уменьшать;более низкий;ниже
mutter,[ˈmʌt.ər],бормотать
stream,[striːm],течь;поток
kiss,[kɪs],целовать;поцелуй
boat,[bəʊt],лодка;судно
natural,[ˈnætʃrəl],естественно;естественный
truth,[truːθ],истина
sing,[sɪŋ],петь
observe,[əbˈzɜːv],наблюдать;соблюдать
dinner,[ˈdɪnə(r)],обед
food,[fuːd],пища;продовольственный
tall,[tɔːl],высокий;ростом;выше
ring,[rɪŋ],звонить;кольцо;кольцевой
decide,[dɪˈsaɪd],решать
horrible,[ˈhɒr.ɪ.bl̩],ужасный
vanish,[ˈvæn.ɪʃ],исчезать
spend,[spend],тратить
grave,[ɡreɪv],могила;ударение;серьезный;важный
actual,[ˈæktʃuəl],фактический
gather,[ˈɡæðə(r)],собирать
repeat,[rɪˈpiːt],повторять;повторение
south,[saʊθ],юг;южный
manage,[ˈmænɪdʒ],управлять
ill,[ɪl],зло;недуг;плохой;больной;дурно
dance,[dɑːns],танцевать;танец
stephen,[-],стивен
roof,[ruːf],крыть;крыша
ghost,[ɡəʊst],призрак
sink,[sɪŋk],погружать;топить;погружаться;тонуть;раковина
grass,[ɡrɑːs],трава
jim,[ˌdʒɪmˈkrəʊ],джим
carter,[-],возчик;картер
dry,[draɪ],сушить;сохнуть;протирать;сухой
narrow,[ˈnærəʊ],суживать;узкий
hurt,[hɜːt],ранить;повреждение;рана
knee,[niː],колено;коленный
law,[lɔː],закон;юридический
reckon,[ˈrekən],подсчитывать;расплачиваться
service,[ˈsɜːvɪs],обслуживать;услуга;обслуживание;воен)служба
arrive,[əˈraɪv],прибывать
george,[-],джордж
worse,[wɜːs],хуже;плохой
yeah,[jeə],да
alive,[əˈlaɪv],живой;готовый;работоспособный
distance,[ˈdɪstəns],расстояние
length,[leŋθ],длина;продолжительность;отрезок
desk,[desk],стол;пульт;настольный
sweet,[swiːt],приятно;приятный;сладкий
art,[ɑːt],искусство
crack,[kræk],трескаться;трещина;отборный
approach,[əˈprəʊtʃ],достигать;приближаться;метод
realize,[ˈriːəlaɪz],реализовывать;понимать
colour,[ˈkʌlə(r)],фото)окрашивать;цвет;цветной
brain,[breɪn],мозг;мозговой
tale,[teɪl],рассказ;повесть
seven,[ˈsevn],семь;семи
valley,[ˈvæli],долина
circle,[ˈsɜːkl],круг
fancy,[ˈfænsi],предполагать;увлекаться;воображение;причудливый
purpose,[ˈpɜːpəs],исключительно для
third,[θɜːd],третий
brown,[braʊn],коричневый
effect,[ɪˈfekt],производить;эффект
london,[-],лондон;лондонский
tremble,[ˈtrem.bl̩],дрожать;дрожь
kid,[kɪd],шутить;ребенок;козленок;лайковый
distant,[ˈdɪs.tənt],отдаленный
onto,[ˈɒntə],на
sigh,[saɪ],вздыхать;вздох
beneath,[bɪˈniːθ],под
important,[ɪmˈpɔːtnt],важно;важный
rush,[rʌʃ],спешить;спешка;срочный;срочно
sirius,[-],сириус
strength,[streŋθ],сила;прочность;воен)численность
east,[iːst],восток;восточный
crouch,[kraʊtʃ],приседать
fit,[fɪt],устанавливать;приступ;годный
gray,[ɡreɪ],серый
stretch,[stretʃ],протягивать
imagine,[ɪˈmædʒɪn],представлять себе
jump,[dʒʌmp],прыгать;перескакивать;прыжок;инф)переход
direct,[dəˈrekt],направлять;прямой
neither,[ˈnaɪðə(r)],никакой;ни
cloak,[kləʊk],плащ
nobody,[ˈnəʊbədi],никто
shock,[ʃɒk],потрясать;шокировать;потрясение;удар;шок
speed,[spiːd],ускорять;скорость;скоростной
tea,[tiː],чай;чайный
tone,[təʊn],оттенок
wing,[wɪŋ],крыло
thought,[θɔːt],думать;мысль
dim,[dɪm],затемнять;тусклый
flower,[ˈflaʊə(r)],цветок;цветочный
report,[rɪˈpɔːt],сообщать;сообщение
today,[təˈdeɪ],сегодня
teeth,[tiːθ],зуб;зубной
fred,[-],фред
bare,[beər],чистый
yellow,[ˈjeləʊ],желтый
breakfast,[ˈbrekfəst],завтрак
jam,[dʒæm],зажимать;замятие;давка;джем;затор
journey,[ˈdʒɜːni],путешествие;поездка
ruin,[ˈruːɪn],разрушать;крах
attack,[əˈtæk],атаковать;атака;нападение
putt,[pʌt],легкий;удар
bottle,[ˈbɒtl],разливать по бутылкам;бутылка
frighten,[ˈfraɪtn],пугать
servant,[ˈsɜːvənt],слуга
flash,[flæʃ],высвечивать;вспышка
immediate,[ɪˈmiːdiət],безотлагательный;непосредственный
bound,[baʊnd],связывать;граничить;граница;прыжок;связанный
single,[ˈsɪŋɡl],единственный
concern,[kənˈsɜːn],беспокоиться;касаться;заниматься;беспокойство;концерн
afterward,[ˈɑːf.tə.wədz],впоследствии
rule,[ruːl],управлять;правило
snap,[snæp],ломать;щелкать;щелчок;мгновенный
bell,[bel],сигнал;колокол
sweep,[swiːp],подметать;инф)развертывать;развертка
control,[kənˈtrəʊl],управлять;управление;управляющий
passage,[ˈpæsɪdʒ],проход;проезд
square,[skweə(r)],квадрат;квадратный
tire,[ˈtaɪə(r)],уставать;шина
cup,[kʌp],чашка
fix,[fɪks],устанавливать;фиксировать;ремонтировать;исправление
fresh,[freʃ],свежий
huge,[hjuːdʒ],огромный
aside,[əˈsaɪd],в сторону
rich,[rɪtʃ],богатый
tight,[taɪt],плотный
bridge,[brɪdʒ],соединять мостом;мост;бридж
flat,[flæt],квартира;плоский
madam,[ˈmæd.əm],мадам
song,[sɒŋ],песня
swing,[swɪŋ],качать;качание;перепад
clean,[kliːn],чистить;чистый;проверенный;как следует
pack,[pæk],упаковывать;заполнять;упаковка
coat,[kəʊt],покрывать;пальто
conversation,[ˌkɒnvəˈseɪʃn],разговор
couple,[ˈkʌpl],соединять;пара
afternoon,[ˌɑːftəˈnuːn],полдень
asleep,[əˈsliːp],спящий
burst,[bɜːst],лопаться;взрываться;взрыв
ball,[bɔːl],шар;шаровой
castle,[ˈkɑːsl],замок
church,[tʃɜːtʃ],церковь;церковный
address,[əˈdres],адресовать;обращаться;адрес
entire,[ɪnˈtaɪə(r)],целый
unless,[ənˈles],если
occasion,[əˈkeɪʒn],случай
knowledge,[ˈnɒlɪdʒ],знание
rat,[ræt],крыса;крысиный
fail,[feɪl],терпеть неудачу
steal,[stiːl],красть;захватывать
pair,[peə(r)],спаривать;пара
rain,[reɪn],лить;дождь
throat,[θrəʊt],горло
calm,[kɑːm],успокаивать;спокойствие;тихий
message,[ˈmesɪdʒ],сообщение;послание
court,[kɔːt],юрид)выигрывать;суд;судебный
creep,[kriːp],ползать
self,[self],собственная личность;сам;сам;лично
swift,[swɪft],быстрый
character,[ˈkærəktə(r)],символ;характер;символьный;характерный
companion,[kəmˈpæn.jən],компаньон;побочный
remark,[rɪˈmɑːk],замечать;замечание
desire,[dɪˈzaɪə(r)],хотеть;желание
prepare,[prɪˈpeə(r)],подготавливать;готовиться
wheel,[wiːl],колесо
public,[ˈpʌblɪk],публика;общественный
vast,[vɑːst],обширный
wound,[wuːnd],ранить;рана
bottom,[ˈbɒtəm],вникать;низ;нижний
mighty,[ˈmaɪ.ti],могущественный
serious,[ˈsɪəriəs],серьезный
forth,[fɔːθ],далее
wonderful,[ˈwʌndəfl],замечательно;замечательный
charge,[tʃɑːdʒ],заряжать;экон)предлагать;брать;плата;заряд
roar,[rɔːr],реветь;рев
awake,[əˈweɪk],будить
corridor,[ˈkɒr.ɪ.dɔːr],коридор
record,[ˈrekɔːd],записывать;запись;рекорд;рекордный
tiny,[ˈtaɪni],небольшой
gun,[ɡʌn],пушка;ружье
moody,[ˈmuː.di],капризный
police,[pəˈliːs],полиция;полицейский
pound,[paʊnd],колотить;фунт;фунтовый
experience,[ɪkˈspɪəriəns],получать;испытывать;опыт
prove,[pruːv],доказывать
scar,[skɑːr],шрам
wander,[ˈwɒndə(r)],бродить
check,[tʃek],проверять;чек;контрольный
seize,[siːz],захватывать
cool,[kuːl],охлаждать;холодный
nanny,[ˈnæn.i],няня
tonight,[təˈnaɪt],сегодня вечером
beg,[beɡ],просить
twice,[twaɪs],дважды
bless,[bles],благословлять
drag,[dræɡ],тащить;помеха
group,[ɡruːp],группировать;группа;групповой
proper,[ˈprɒpə(r)],соответствующий
curse,[kɜːs],проклинать;проклятие
susan,[ˌleɪ.ziˈsuː.zən],сюзан
cave,[keɪv],пещера
proud,[praʊd],гордый
race,[reɪs],состязаться;гонка;раса;расовый
charm,[tʃɑːm],очаровывать;очаровательный;обаяние;прелесть
lake,[leɪk],озеро
blind,[blaɪnd],слепить;штора;слепой
class,[klɑːs],класс
struggle,[ˈstrʌɡl],бороться;борьба
danger,[ˈdeɪndʒə(r)],опасность;опасный
double,[ˈdʌbl],удваивать;двойное количество;двойной;вдвойне
nervous,[ˈnɜːvəs],нервный
normal,[ˈnɔːml],нормально;нормальный
spread,[spred],распространять;простираться;распространение;распростертый
delight,[dɪˈlaɪt],приводить в восторг;восхищение
disappear,[ˌdɪsəˈpɪə(r)],исчезать
scene,[siːn],сцена;инф)изображение
cast,[kɑːst],бросать;слепок
flame,[fleɪm],пламя
obvious,[ˈɒbviəs],очевидный
saint,[seɪnt],святой
station,[ˈsteɪʃn],станция
position,[pəˈzɪʃn],позиционировать;позиция
size,[saɪz],размер
kitchen,[ˈkɪtʃɪn],кухня;кухонный
duty,[ˈdjuːti],обязанность;пошлина
tongue,[tʌŋ],язык
branch,[brɑːntʃ],расширять;ветка;отрасль;отделение;отраслевой
entrance,[ˈentrəns],вход;вступительный
express,[ɪkˈspres],выражать;экспресс;срочный;специальный
history,[ˈhɪstri],история;исторический
welcome,[ˈwelkəm],добро пожаловать
mist,[mɪst],туман
grin,[ɡrɪn],ухмыляться;усмешка
vague,[veɪɡ],неопределенный
anxious,[ˈæŋkʃəs],озабоченный
busy,[ˈbɪzi],занятый
fish,[fɪʃ],рыба;рыбный
husband,[ˈhʌzbənd],муж
robe,[rəʊb],халат
board,[bɔːd],совет;доска;инф)плата;транс)борт;на борту
skin,[skɪn],кожа;шкура;кожура
stir,[stɜː(r)],шевелить
shop,[ʃɒp],делать покупки;магазин;мастерская
battle,[ˈbætl],бороться;борьба;битва
worth,[wɜːθ],стоящий
dare,[deə(r)],осмеливаться
judge,[dʒʌdʒ],судить;судья;эксперт
society,[səˈsaɪəti],общество
terror,[ˈter.ər],террор;ужас
track,[træk],прослеживать;дорожка
discover,[dɪˈskʌvə(r)],обнаруживать
nine,[naɪn],девять;девяти
travel,[ˈtrævl],путешествовать;перемещать;путешествие;перемещение
card,[kɑːd],карта
twist,[twɪst],скручивать;искривление
chamber,[ˈtʃeɪmbə(r)],палата;камера
chief,[tʃiːf],руководитель;главный
heaven,[ˈhevn],небо
therefore,[ˈðeəfɔː(r)],следовательно
march,[mɑːtʃ],маршировать;марш;март;мартовский
unknown,[ˌʌnˈnəʊn],неизвестный
slope,[sləʊp],уклон
effort,[ˈefət],усилие
utter,[ˈʌt.ər],произносить;сплошной
desert,[ˈdezət],покидать;пустыня;необитаемый
glow,[ɡləʊ],светиться;свечение;разряд
suggest,[səˈdʒest],предлагать;советовать;предложенный
greater,[ˈɡreɪ.tər],больше;больший
pray,[preɪ],молить
apparent,[əˈpærənt],очевидно;явный
hideous,[ˈhɪd.i.əs],уродливый
metal,[ˈmetl],мех)металл
music,[ˈmjuːzɪk],музыка;ноты;музыкальный
village,[ˈvɪlɪdʒ],деревня
dangerous,[ˈdeɪndʒərəs],опасный
everybody,[ˈevribɒdi],каждый
somehow,[ˈsʌmhaʊ],как-нибудь
gaz,[-],газ;газовый
respect,[rɪˈspekt],уважать;отношение
rider,[ˈraɪdə(r)],всадник
born,[bɔːn],рождаться;рожденный
wine,[waɪn],вино
difficult,[ˈdɪfɪkəlt],трудно;трудный
grab,[ɡræb],захватывать;захват
stupid,[ˈstjuːpɪd],глупый;тупой
tie,[taɪ],соединять;соединение;соединительный
fool,[fuːl],одурачивать;дурак
stranger,[ˈstreɪndʒə(r)],незнакомец;новичок;посторонний
flow,[fləʊ],течь;происходить;поток
fold,[fəʊld],складывать;свертывать;сгибать;складка;паства
recall,[rɪˈkɔːl],восстанавливать;учитывать;возврат;одуш)воспоминание
row,[rəʊ],грести;колонка
shin,[ʃɪn],голень
echo,[ˈek.əʊ],эхо
pour,[pɔː(r)],лить
tomorrow,[təˈmɒrəʊ],завтра
animal,[ˈænɪml],животное
match,[mætʃ],соответствовать;сочетаться;сопоставлять;спичка;инф)сопоставление;матч;партия
pile,[paɪl],кипа
brief,[briːf],резюме;краткий
level,[ˈlevl],выравнивать;уровень
main,[meɪn],основа;основной
private,[ˈpraɪvət],частный
paint,[peɪnt],закрашивать;артс)изображать;краска;закрашивание
remove,[rɪˈmuːv],удалять;удаление
attempt,[əˈtempt],пытаться;попытка
planet,[ˈplænɪt],астр)планета;планетарный
ward,[wɔːd],отражать;опекаемый
writ,[rɪt],исполнительный;лист
command,[kəˈmɑːnd],приказывать;командовать;команда;командный
spy,[spaɪ],шпионить;шпион;слежение;шпионский
although,[ɔːlˈðəʊ],хотя
chain,[tʃeɪn],подключать;цепь;последовательность;цепной
quarter,[ˈkwɔːtə(r)],четверть;квартал;четвертак
anybody,[ˈenibɒdi],кто-нибудь
circumstance,[ˈsɜːkəmstəns],обстоятельство
hiss,[hɪs],освистывать;шипеть
sad,[sæd],печальный
aware,[əˈweə(r)],знающий
trace,[treɪs],прослеживать;след;трассировка;чуть-чуть
action,[ˈækʃn],действие;иск
angel,[ˈeɪn.dʒəl],ангел
fifty,[ˈfɪfti],пятьдесят;пятидесятый;пятидесяти
problem,[ˈprɒbləm],проблема;проблемный
summer,[ˈsʌmə(r)],лето;сумматор;летний
steady,[ˈstedi],устойчивый
detail,[ˈdiːteɪl],описывать;подробно;деталь;подробный
firm,[fɜːm],фирма;твердый
halt,[hɒlt],останавливать;останов
opinion,[əˈpɪnjən],мнение
spell,[spel],писать по буквам
granny,[ˈɡræn.i],бабушка
bill,[bɪl],выставлять счет;счет;купюра;законопроект;афиша;клюв;билл
especial,[ɪˈspeʃ.əl],особенный
weak,[wiːk],слабый
page,[peɪdʒ],страница;страничный
special,[ˈspeʃl],специальный
inch,[ɪntʃ],дюйм;дюймовый
speech,[spiːtʃ],речь;речевой
wash,[wɒʃ],мыть;стирка;примочка
gasp,[ɡɑːsp],задыхаться
task,[tɑːsk],задача;задание
boot,[buːt],загружать;пинать;ботинок;багажник;инф)загрузка
candle,[ˈkæn.dl̩],свеча
cheek,[tʃiːk],щека
extreme,[ɪkˈstriːm],предел;экстремальный
hell,[hel],ад
eight,[eɪt],восемь;восьми
hint,[hɪnt],намек
necessary,[ˈnesəsəri],необходимо;необходимый
term,[tɜːm],характеризовать;срок;условие;термин
impossible,[ɪmˈpɒsəbl],невозможно;невозможный
kick,[kɪk],бить;удар
reveal,[rɪˈviːl],показывать;обнаруживать
closer,[kləʊs],ближе;ближний
movement,[ˈmuːvmənt],перемещение
presence,[ˈprezns],присутствие;наличие
suffer,[ˈsʌfə(r)],страдать
beauty,[ˈbjuːti],красота
dreadful,[ˈdred.fəl],ужасный
gleam,[ɡliːm],блестеть;проблеск
occur,[əˈkɜː(r)],происходить
rid,[rɪd],освобождать;избавлять
rough,[rʌf],грубый
broad,[brɔːd],широкий
jane,[ˌdʒeɪnˈdəʊ],джейн
pleasant,[ˈpleznt],приятный
breast,[brest],грудь;грудной
post,[pəʊst],посылать;пост;сообщение
rope,[rəʊp],веревка
bone,[bəʊn],кость;костный
evident,[ˈev.ɪ.dənt],очевидный
parent,[ˈpeərənt],родитель;родительский
student,[ˈstjuːdnt],студент;студенческий
youth,[juːθ],молодость
future,[ˈfjuːtʃə(r)],будущее;будущий
trunk,[trʌŋk],шина
absolute,[ˈæbsəluːt],абсолютный
admit,[ədˈmɪt],допускать
lee,[liː],укрытие;подветренный
queer,[kwɪər],необычный
thus,[ðʌs],таким образом
wise,[waɪz],мудрый
excuse,[ɪkˈskjuːs],извинять;извинение
carrot,[ˈkærət],морковь;морковный
comfort,[ˈkʌmfət],успокаивать;удобство
surface,[ˈsɜːfɪs],всплывать;поверхность;поверхностный
alarm,[əˈlɑːm],тревожить;тревога;аварийный
shine,[ʃaɪn],сиять;лоск
shore,[ʃɔːr],берег
tap,[tæp],подключать;отвод
tip,[tɪp],откидывать;конец
weapon,[ˈwepən],оружие
belong,[bɪˈlɒŋ],принадлежать
charles,[-],чарльз
peace,[piːs],мир;мирный
smooth,[smuːð],разглаживать;плавный;гладкий
dwell,[dwel],задерживаться;останавливаться;задержка
enjoy,[ɪnˈdʒɔɪ],наслаждаться;любить
float,[fləʊt],плавать;поплавок;инф)функция преобразования;переменный
lamp,[læmp],лампа;фонарь;фонарный
occasional,[əˈkeɪ.ʒən.əl],случайный;редкий
peer,[pɪər],равняться;сверстник;равный
fad,[fæd],поветрие
machine,[məˈʃiːn],машина;машинный
regard,[rɪˈɡɑːd],считать;отношение
screen,[skriːn],отгораживать;экран;экранный
murmur,[ˈmɜː.mər],роптать;ропот
beard,[bɪəd],борода
joe,[ˌdʒəʊˈblɒɡz],джо
loose,[luːs],освобождать;свободный
scrooge,[skruːdʒ],скряга
fashion,[ˈfæʃn],изготавливать;способ
suit,[suːt],подходить;иск;судебное дело;костюм
dozen,[ˈdʌzn],дюжина
flight,[flaɪt],полет;рейс;полетный
officer,[ˈɒfɪsə(r)],должностное;лицо;воен)офицер
dawn,[dɔːn],рассветать;рассвет
crown,[kraʊn],венчать;корона
various,[ˈveəriəs],различный
apart,[əˈpɑːt],отдельно
destroy,[dɪˈstrɔɪ],уничтожать
drift,[drɪft],дрейф;постепенный
information,[ˌɪnfəˈmeɪʃn],информация;информационный
tail,[teɪl],выслеживать;плестись;хвост
chest,[tʃest],ящик;грудь;грудной
event,[ɪˈvent],случай;инф)событие
familiar,[fəˈmɪliə(r)],знакомый;похожий
language,[ˈlæŋɡwɪdʒ],язык;языковой
weary,[ˈwɪə.ri],утомительный;усталый
personal,[ˈpɜːsənl],персональный
produce,[prəˈdjuːs],производить;создавать;выдача
share,[ʃeə(r)],распространять;делить;акция;доля;акционерный
assure,[əˈʃʊə(r)],гарантировать
desperate,[ˈdespərət],отчаянно;отчаянный
appearance,[əˈpɪərəns],появление;вид;внешность
dread,[dred],страшиться;страх;страшный
gentlemen,[ˈdʒen.tl̩.mən],господа
thirty,[ˈθɜːti],тридцать;тридцати
crawl,[krɔːl],ползать;кроль
guide,[ɡaɪd],вести;руководство
weight,[weɪt],нагружать;весить;вес
awful,[ˈɔːfl],ужасный
contain,[kənˈteɪn],содержать;содержание
glimpse,[ɡlɪmps],проблеск
worst,[wɜːst],наихудший
